"report_id","user_id","date","device","ui","version","client","cms","crm","city","state","country","network_speed","network_latency"
"1","100000013","1509919200","_WebTV [local]","Akua","v1.21.421","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","0.00","0.00"
"2","100000013","1510005600","_WebTV [local]","Akua","v1.21.429","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","0.00","0.00"
"3","100000012","1510005600","_TelergyHD_Linux [thd503]","Honua","v1.21.432","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","0.00","0.00"
"4","100000013","1510092000","_WebTV [local]","Akua","v1.21.922","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","0.00","0.00"
"5","100000012","1510092000","_TelergyHD_Android [thd709qc]","Akua","v1.21.923","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","0.00","0.00"
"6","100000012","1510092000","_TelergyHD_Linux [thd503]","Akua","v1.21.923","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","0.00","0.00"
"7","100000013","1510178400","_WebTV [local]","Akua","v1.22.1","test_client","Dutch","Premier","Târgu Mureş","MS","Romania","29.19","40.30"
"8","1000378","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Brampton","ON","Canada","0.00","0.00"
"9","1000026","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Columbus","OH","United States","0.00","0.00"
"10","1000593","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"11","1000082","1510178400","_TelergyHD_Android [thd603qc]",,,"ColourIPTV","Colour","ColourIPTV","Hounslow","ENG","United Kingdom","0.00","0.00"
"12","1000163","1510178400","_TelergyHD_Android [thd603qc]",,,"ColourIPTV","Colour","ColourIPTV","Skanderborg","82","Denmark","0.00","0.00"
"13","1000271","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Tulsa","OK","United States","0.00","0.00"
"14","1000713","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Erlangen","BY","Germany","0.00","0.00"
"15","1000038","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Lawrenceville","GA","United States","0.00","0.00"
"16","1000602","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","MANUREWA","AUK","New Zealand","0.00","0.00"
"17","1000040","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Columbus","OH","United States","0.00","0.00"
"18","100000043","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"19","1000138","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"20","1000126","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Minneapolis","MN","United States","0.00","0.00"
"21","1000161","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Windsor","ON","Canada","0.00","0.00"
"22","1000661","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Ceres","CA","United States","0.00","0.00"
"23","1000634","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Brampton","ON","Canada","0.00","0.00"
"24","1000376","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Stockton","CA","United States","0.00","0.00"
"25","1000018","1510178400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"26","1000198","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Hackney","ENG","United Kingdom","0.00","0.00"
"27","1000198","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Hackney","ENG","United Kingdom","0.00","0.00"
"28","1000309","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Auckland","AUK","New Zealand","0.00","0.00"
"29","1000137","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Saint Charles","IL","United States","0.00","0.00"
"30","1000340","1510092000","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Bellevue","WA","United States","0.00","0.00"
"31","1000889","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Gwynn Oak","MD","United States","0.00","0.00"
"32","1000705","1510178400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Edmonton","AB","Canada","0.00","0.00"
"33","1000698","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Tempe","AZ","United States","0.00","0.00"
"34","1000008","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Southall","ENG","United Kingdom","0.00","0.00"
"35","1000016","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Winnipeg","MB","Canada","0.00","0.00"
"36","1000051","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Columbus","OH","United States","0.00","0.00"
"37","1000177","1494882000","_TelergyHD_Android [thd603qc]",,,"ColourIPTV","Colour","ColourIPTV","Hendon","ENG","United Kingdom","0.00","0.00"
"38","1000363","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Geneva","GE","Switzerland","0.00","0.00"
"39","1000700","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Deep River","ON","Canada","0.00","0.00"
"40","1000070","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","Optimum","Optimum","Optimum_TV","Willemstad",,"Curaçao","0.00","0.00"
"41","1000028","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Columbus","OH","United States","0.00","0.00"
"42","1000533","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"43","1000131","1510178400","_TelergyHD_Android [thd603qc]",,,"ColourIPTV","Colour","ColourIPTV","Finchley","ENG","United Kingdom","0.00","0.00"
"44","1000093","-7200","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Rochester","MI","United States","0.00","0.00"
"45","1000284","1510178400","_WebTV [local]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Hardy","VA","United States","0.00","0.00"
"46","1000947","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Lilburn","GA","United States","0.00","0.00"
"47","1000285","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Scarborough","ON","Canada","0.00","0.00"
"48","1000191","1510351200","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Brabrand","82","Denmark","0.00","0.00"
"49","1000018","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"50","1000392","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"51","1000236","1510005600","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"52","1000762","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Kansas City","MO","United States","0.00","0.00"
"53","100000030","-7200","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","Netcom","USA","Netcom","Pensacola","FL","United States","0.00","0.00"
"54","1000005","1510178400","_WebTV [local]",,,"NGC","NGC","FastTV","Erbil","AR","Iraq","0.00","0.00"
"55","1000628","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Decatur","GA","United States","0.00","0.00"
"56","1000115","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"57","1000332","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"58","1000312","1332968400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Oslo","03","Norway","0.00","0.00"
"59","1000128","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Hendon","ENG","United Kingdom","0.00","0.00"
"60","1000839","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Shakopee","MN","United States","0.00","0.00"
"61","1000601","1510092000","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"62","1000006","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","Optimum","Optimum","Optimum_TV","Willemstad",,"Curaçao","0.00","0.00"
"63","1000084","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Spijkenisse","ZH","Netherlands","0.00","0.00"
"64","1000005","1510264800","_WebTV [local]",,,"NGC","NGC","FastTV","Erbil","AR","Iraq","0.00","0.00"
"65","1000010","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"66","1000660","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"67","1000011","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"68","100000045","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"69","1000015","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Girraween","NSW","Australia","0.00","0.00"
"70","1000191","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"71","1000037","1510178400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Sugar Land","TX","United States","0.00","0.00"
"72","1000103","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Sterling Heights","MI","United States","0.00","0.00"
"73","1000006","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Gieres","ARA","France","0.00","0.00"
"74","100000084","1510092000","_WebTV [local]",,,"Totalfone","IPTV_01","Totalfone","Spijkenisse","ZH","Netherlands","0.00","0.00"
"75","1000006","1510092000","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Saint Charles","IL","United States","0.00","0.00"
"76","1000368","6127200","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Detroit","MI","United States","0.00","0.00"
"77","1000621","1509919200","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"78","1000121","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Scarborough","ON","Canada","0.00","0.00"
"79","1000204","1509919200","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Sacramento","CA","United States","0.00","0.00"
"80","100000081","1510092000","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"81","1000234","79200","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","East Lansing","MI","United States","0.00","0.00"
"82","1000674","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Auckland","AUK","New Zealand","0.00","0.00"
"83","1000107","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Richmond","VA","United States","0.00","0.00"
"84","1000179","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"85","1000170","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"86","1000016","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Sterling Heights","MI","United States","0.00","0.00"
"87","1000714","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Mississauga","ON","Canada","0.00","0.00"
"88","1000825","1510178400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Stuttgart","BW","Germany","0.00","0.00"
"89","1000099","165600","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Sherman","TX","United States","0.00","0.00"
"90","1000127","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Hatfield","ENG","United Kingdom","0.00","0.00"
"91","1000135","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Miramar Beach","FL","United States","0.00","0.00"
"92","1000914","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Mankato","MN","United States","0.00","0.00"
"93","1000431","1510178400","_TelergyHD_Android [thd709qc]",,,"Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"94","1000189","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"95","1000592","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Oslo","03","Norway","0.00","0.00"
"96","1000613","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Oldenburg","NI","Germany","0.00","0.00"
"97","1000004","1510264800","_WebTV [local]",,,"EllasTV","Ellas","EllasTV","Gouda","ZH","Netherlands","0.00","0.00"
"98","1000004","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","Optimum","Optimum","Optimum_TV","Amsterdam","NH","Netherlands","0.00","0.00"
"99","1000518","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"100","1000165","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
